Export Channel Data with rate of 256 samples per second.

"Client: ProCompInf, Biofeedback"	"Channel Set: PI Physiology BVP.chs"
Session Date: 2021/03/19		Session Time: 16:10:09
Start Time: 00:00:00.000		End Time: 00:10:38.250

B: BVP,Event
2048, 
0.003, 
0.051, 
0.235, 
0.657, 
1.409, 
2.548, 
4.095, 
6.032, 
8.312, 
10.857, 
13.576, 
16.368, 
19.133, 
21.778, 
24.221, 
26.397, 
28.259, 
29.779, 
30.948, 
31.773, 
32.276, 
32.490, 
32.455, 
32.218, 
31.830, 
31.340, 
30.796, 
30.244, 
29.727, 
29.283, 
28.947, 
28.751, 
28.723, 
28.886, 
29.259, 
29.855, 
30.682, 
31.740, 
33.024, 
34.519, 
36.205, 
38.054, 
40.033, 
42.098, 
44.206, 
46.305, 
48.349, 
50.288, 
52.079, 
53.684, 
55.073, 
56.223, 
57.121, 
57.761, 
58.147, 
58.288, 
58.199, 
57.903, 
57.422, 
56.782, 
56.010, 
55.132, 
54.173, 
53.155, 
52.100, 
51.025, 
49.946, 
48.875, 
47.822, 
46.795, 
45.800, 
44.839, 
43.914, 
43.028, 
42.179, 
41.366, 
40.588, 
39.843, 
39.129, 
38.444, 
37.786, 
37.153, 
36.544, 
35.956, 
35.391, 
34.849, 
34.330, 
33.834, 
33.365, 
32.923, 
32.510, 
32.128, 
31.780, 
31.468, 
31.195, 
30.963, 
30.773, 
30.628, 
30.528, 
30.474, 
30.467, 
30.509, 
30.598, 
30.737, 
30.923, 
31.155, 
31.432, 
31.750, 
32.106, 
32.497, 
32.916, 
33.358, 
33.817, 
34.286, 
34.757, 
35.224, 
35.677, 
36.111, 
36.518, 
36.893, 
37.230, 
37.525, 
37.774, 
37.975, 
38.127, 
38.229, 
38.283, 
38.289, 
38.252, 
38.173, 
38.057, 
37.908, 
37.730, 
37.527, 
37.303, 
37.064, 
36.813, 
36.554, 
36.289, 
36.021, 
35.753, 
35.486, 
35.220, 
34.957, 
34.697, 
34.442, 
34.191, 
33.943, 
33.699, 
33.458, 
33.220, 
32.984, 
32.750, 
32.520, 
32.292, 
32.067, 
31.846, 
31.629, 
31.415, 
31.207, 
31.006, 
30.810, 
30.622, 
30.441, 
30.267, 
30.100, 
29.940, 
29.786, 
29.640, 
29.500, 
29.368, 
29.243, 
29.126, 
29.018, 
28.919, 
28.831, 
28.756, 
28.696, 
28.656, 
28.642, 
28.665, 
28.737, 
28.876, 
29.100, 
29.430, 
29.888, 
30.496, 
31.270, 
32.225, 
33.369, 
34.701, 
36.217, 
37.899, 
39.723, 
41.654, 
43.651, 
45.668, 
47.657, 
49.568, 
51.357, 
52.981, 
54.407, 
55.609, 
56.567, 
57.274, 
57.728, 
57.934, 
57.907, 
57.663, 
57.226, 
56.620, 
55.870, 
55.005, 
54.048, 
53.026, 
51.961, 
50.871, 
49.774, 
48.684, 
47.613, 
46.568, 
45.556, 
44.581, 
43.647, 
42.754, 
41.901, 
41.088, 
40.312, 
39.573, 
38.866, 
38.190, 
37.541, 
36.917, 
36.317, 
35.738, 
35.180, 
34.642, 
34.125, 
33.630, 
33.157, 
32.709, 
32.287, 
31.894, 
31.533, 
31.206, 
30.917, 
30.667, 
30.459, 
30.295, 
30.177, 
30.108, 
30.088, 
30.118, 
30.200, 
30.332, 
30.514, 
30.744, 
31.019, 
31.337, 
31.694, 
32.085, 
32.505, 
32.948, 
33.407, 
33.876, 
34.347, 
34.814, 
35.268, 
35.704, 
36.115, 
36.496, 
36.840, 
37.143, 
37.403, 
37.615, 
37.778, 
37.892, 
37.957, 
37.974, 
37.945, 
37.874, 
37.764, 
37.618, 
37.442, 
37.240, 
37.015, 
36.774, 
36.520, 
36.258, 
35.990, 
35.719, 
35.448, 
35.179, 
34.913, 
34.651, 
34.395, 
34.143, 
33.896, 
33.654, 
33.416, 
33.183, 
32.953, 
32.727, 
32.505, 
32.286, 
32.069, 
31.856, 
31.644, 
31.435, 
31.229, 
31.027, 
30.829, 
30.636, 
30.447, 
30.264, 
30.087, 
29.917, 
29.753, 
29.597, 
29.447, 
29.306, 
29.171, 
29.044, 
28.925, 
28.814, 
28.712, 
28.618, 
28.533, 
28.457, 
28.393, 
28.343, 
28.311, 
28.305, 
28.335, 
28.414, 
28.558, 
28.786, 
29.120, 
29.580, 
30.188, 
30.962, 
31.916, 
33.058, 
34.390, 
35.906, 
37.591, 
39.420, 
41.357, 
43.363, 
45.391, 
47.392, 
49.317, 
51.121, 
52.761, 
54.204, 
55.422, 
56.397, 
57.118, 
57.586, 
57.805, 
57.789, 
57.556, 
57.128, 
56.529, 
55.786, 
54.925, 
53.973, 
52.954, 
51.889, 
50.799, 
49.701, 
48.609, 
47.535, 
46.487, 
45.471, 
44.493, 
43.555, 
42.659, 
41.804, 
40.989, 
40.212, 
39.469, 
38.759, 
38.079, 
37.427, 
36.799, 
36.195, 
35.614, 
35.055, 
34.516, 
34.000, 
33.505, 
33.035, 
32.591, 
32.176, 
31.792, 
31.442, 
31.128, 
30.852, 
30.616, 
30.421, 
30.271, 
30.167, 
30.111, 
30.103, 
30.145, 
30.238, 
30.380, 
30.572, 
30.811, 
31.098, 
31.428, 
31.799, 
32.205, 
32.643, 
33.104, 
33.583, 
34.072, 
34.563, 
35.049, 
35.522, 
35.974, 
36.399, 
36.790, 
37.143, 
37.452, 
37.714, 
37.927, 
38.088, 
38.196, 
38.253, 
38.260, 
38.220, 
38.136, 
38.013, 
37.855, 
37.666, 
37.450, 
37.214, 
36.960, 
36.693, 
36.418, 
36.137, 
35.853, 
35.571, 
35.291, 
35.016, 
34.747, 
34.485, 
34.231, 
33.985, 
33.745, 
33.512, 
33.285, 
33.064, 
32.849, 
32.639, 
32.433, 
32.231, 
32.033, 
31.838, 
31.645, 
31.456, 
31.270, 
31.086, 
30.906, 
30.729, 
30.556, 
30.388, 
30.225, 
30.068, 
29.917, 
29.773, 
29.636, 
29.505, 
29.381, 
29.264, 
29.155, 
29.052, 
28.956, 
28.866, 
28.784, 
28.710, 
28.644, 
28.590, 
28.550, 
28.529, 
28.534, 
28.575, 
28.665, 
28.820, 
29.057, 
29.399, 
29.865, 
30.477, 
31.252, 
32.205, 
33.343, 
34.669, 
36.177, 
37.851, 
39.667, 
41.589, 
43.577, 
45.585, 
47.562, 
49.462, 
51.237, 
52.847, 
54.258, 
55.444, 
56.387, 
57.080, 
57.520, 
57.716, 
57.680, 
57.431, 
56.992, 
56.388, 
55.644, 
54.785, 
53.839, 
52.826, 
51.770, 
50.688, 
49.597, 
48.511, 
47.441, 
46.395, 
45.379, 
44.399, 
43.455, 
42.551, 
41.685, 
40.856, 
40.065, 
39.307, 
38.583, 
37.890, 
37.225, 
36.587, 
35.975, 
35.387, 
34.822, 
34.280, 
33.761, 
33.267, 
32.799, 
32.361, 
31.953, 
31.579, 
31.242, 
30.943, 
30.686, 
30.473, 
30.307, 
30.188, 
30.118, 
30.100, 
30.133, 
30.219, 
30.357, 
30.547, 
30.787, 
31.078, 
31.414, 
31.793, 
32.209, 
32.658, 
33.132, 
33.625, 
34.128, 
34.635, 
35.137, 
35.625, 
36.094, 
36.535, 
36.943, 
37.311, 
37.635, 
37.912, 
38.137, 
38.311, 
38.433, 
38.502, 
38.521, 
38.491, 
38.417, 
38.301, 
38.149, 
37.964, 
37.751, 
37.516, 
37.263, 
36.995, 
36.718, 
36.434, 
36.148, 
35.861, 
35.577, 
35.299, 
35.026, 
34.762, 
34.505, 
34.257, 
34.017, 
33.785, 
33.560, 
33.341, 
33.127, 
32.917, 
32.711, 
32.508, 
32.308, 
32.110, 
31.914, 
31.720, 
31.530, 
31.342, 
31.157, 
30.976, 
30.799, 
30.627, 
30.460, 
30.298, 
30.142, 
29.992, 
29.847, 
29.709, 
29.578, 
29.452, 
29.333, 
29.221, 
29.115, 
29.017, 
28.926, 
28.844, 
28.771, 
28.707, 
28.655, 
28.616, 
28.595, 
28.597, 
28.633, 
28.714, 
28.853, 
29.069, 
29.382, 
29.814, 
30.385, 
31.115, 
32.018, 
33.104, 
34.379, 
35.838, 
37.468, 
39.247, 
41.142, 
43.114, 
45.117, 
47.102, 
49.020, 
50.825, 
52.475, 
53.935, 
55.177, 
56.181, 
56.936, 
57.441, 
57.699, 
57.722, 
57.528, 
57.137, 
56.573, 
55.863, 
55.032, 
54.106, 
53.108, 
52.062, 
50.987, 
49.900, 
48.816, 
47.746, 
46.699, 
45.682, 
44.701, 
43.758, 
42.854, 
41.991, 
41.165, 
40.378, 
39.626, 
38.907, 
38.219, 
37.560, 
36.927, 
36.320, 
35.736, 
35.176, 
34.639, 
34.125, 
33.634, 
33.167, 
32.727, 
32.315, 
31.933, 
31.585, 
31.272, 
30.998, 
30.764, 
30.573, 
30.427, 
30.328, 
30.279, 
30.281, 
30.335, 
30.442, 
30.601, 
30.812, 
31.072, 
31.380, 
31.731, 
32.122, 
32.547, 
33.000, 
33.475, 
33.965, 
34.461, 
34.955, 
35.440, 
35.907, 
36.349, 
36.760, 
37.132, 
37.462, 
37.744, 
37.976, 
38.156, 
38.284, 
38.360, 
38.386, 
38.365, 
38.298, 
38.190, 
38.044, 
37.865, 
37.657, 
37.424, 
37.170, 
36.901, 
36.621, 
36.333, 
36.042, 
35.750, 
35.459, 
35.172, 
34.889, 
34.613, 
34.344, 
34.083, 
33.831, 
33.589, 
33.357, 
33.134, 
32.922, 
32.718, 
32.521, 
32.332, 
32.149, 
31.972, 
31.800, 
31.632, 
31.467, 
31.306, 
31.146, 
30.989, 
30.833, 
30.678, 
30.526, 
30.376, 
30.229, 
30.084, 
29.944, 
29.806, 
29.673, 
29.544, 
29.420, 
29.301, 
29.188, 
29.081, 
28.979, 
28.884, 
28.795, 
28.713, 
28.637, 
28.568, 
28.507, 
28.456, 
28.417, 
28.394, 
28.394, 
28.426, 
28.500, 
28.632, 
28.838, 
29.140, 
29.558, 
30.116, 
30.832, 
31.725, 
32.804, 
34.077, 
35.541, 
37.185, 
38.985, 
40.912, 
42.923, 
44.973, 
47.013, 
48.990, 
50.859, 
52.574, 
54.099, 
55.403, 
56.467, 
57.277, 
57.831, 
58.132, 
58.193, 
58.029, 
57.664, 
57.121, 
56.428, 
55.611, 
54.696, 
53.709, 
52.671, 
51.604, 
50.524, 
49.446, 
48.382, 
47.342, 
46.331, 
45.354, 
44.415, 
43.514, 
42.653, 
41.832, 
41.048, 
40.300, 
39.586, 
38.904, 
38.252, 
37.627, 
37.027, 
36.450, 
35.896, 
35.363, 
34.851, 
34.361, 
33.894, 
33.450, 
33.032, 
32.639, 
32.276, 
31.945, 
31.647, 
31.386, 
31.164, 
30.984, 
30.848, 
30.757, 
30.714, 
30.720, 
30.777, 
30.885, 
31.044, 
31.252, 
31.509, 
31.811, 
32.155, 
32.537, 
32.950, 
33.390, 
33.849, 
34.321, 
34.798, 
35.272, 
35.736, 
36.183, 
36.604, 
36.995, 
37.348, 
37.660, 
37.925, 
38.141, 
38.306, 
38.419, 
38.480, 
38.489, 
38.449, 
38.363, 
38.235, 
38.068, 
37.869, 
37.641, 
37.389, 
37.117, 
36.831, 
36.535, 
36.231, 
35.924, 
35.615, 
35.310, 
35.008, 
34.714, 
34.427, 
34.149, 
33.882, 
33.624, 
33.378, 
33.142, 
32.917, 
32.703, 
32.498, 
32.302, 
32.116, 
31.937, 
31.766, 
31.602, 
31.444, 
31.290, 
31.141, 
30.995, 
30.852, 
30.712, 
30.573, 
30.436, 
30.301, 
30.167, 
30.035, 
29.906, 
29.780, 
29.657, 
29.538, 
29.423, 
29.311, 
29.202, 
29.098, 
28.998, 
28.903, 
28.812, 
28.726, 
28.645, 
28.570, 
28.501, 
28.438, 
28.384, 
28.338, 
28.303, 
28.283, 
28.283, 
28.311, 
28.378, 
28.499, 
28.689, 
28.968, 
29.358, 
29.880, 
30.555, 
31.400, 
32.429, 
33.649, 
35.060, 
36.655, 
38.414, 
40.309, 
42.303, 
44.351, 
46.405, 
48.415, 
50.332, 
52.111, 
53.712, 
55.104, 
56.262, 
57.172, 
57.826, 
58.226, 
58.382, 
58.307, 
58.024, 
57.555, 
56.926, 
56.164, 
55.294, 
54.343, 
53.333, 
52.285, 
51.218, 
50.146, 
49.082, 
48.036, 
47.016, 
46.027, 
45.072, 
44.155, 
43.276, 
42.434, 
41.630, 
40.863, 
40.131, 
39.432, 
38.765, 
38.127, 
37.517, 
36.933, 
36.374, 
35.837, 
35.321, 
34.827, 
34.355, 
33.904, 
33.477, 
33.073, 
32.695, 
32.346, 
32.026, 
31.740, 
31.489, 
31.275, 
31.101, 
30.969, 
30.881, 
30.840, 
30.847, 
30.904, 
31.010, 
31.167, 
31.372, 
31.625, 
31.924, 
32.264, 
32.643, 
33.054, 
33.492, 
33.950, 
34.421, 
34.896, 
35.368, 
35.828, 
36.268, 
36.681, 
37.059, 
37.397, 
37.690, 
37.934, 
38.128, 
38.269, 
38.358, 
38.394, 
38.382, 
38.322, 
38.218, 
38.075, 
37.895, 
37.684, 
37.447, 
37.187, 
36.908, 
36.615, 
36.313, 
36.004, 
35.693, 
35.381, 
35.071, 
34.765, 
34.465, 
34.171, 
33.886, 
33.610, 
33.344, 
33.088, 
32.843, 
32.609, 
32.386, 
32.175, 
31.974, 
31.783, 
31.602, 
31.431, 
31.269, 
31.116, 
30.971, 
30.833, 
30.702, 
30.576, 
30.455, 
30.337, 
30.223, 
30.110, 
29.999, 
29.889, 
29.779, 
29.671, 
29.563, 
29.456, 
29.350, 
29.247, 
29.146, 
29.047, 
28.952, 
28.860, 
28.773, 
28.690, 
28.611, 
28.537, 
28.467, 
28.402, 
28.341, 
28.284, 
28.233, 
28.187, 
28.148, 
28.116, 
28.095, 
28.088, 
28.100, 
28.139, 
28.215, 
28.342, 
28.536, 
28.818, 
29.208, 
29.727, 
30.396, 
31.233, 
32.249, 
33.454, 
34.847, 
36.422, 
38.162, 
40.040, 
42.020, 
44.061, 
46.114, 
48.130, 
50.058, 
51.854, 
53.476, 
54.892, 
56.075, 
57.011, 
57.692, 
58.118, 
58.299, 
58.249, 
57.988, 
57.537, 
56.923, 
56.171, 
55.308, 
54.359, 
53.347, 
52.295, 
51.220, 
50.139, 
49.065, 
48.009, 
46.978, 
45.978, 
45.013, 
44.085, 
43.194, 
42.342, 
41.527, 
40.749, 
40.007, 
39.298, 
38.621, 
37.975, 
37.356, 
36.764, 
36.197, 
35.652, 
35.129, 
34.627, 
34.146, 
33.687, 
33.251, 
32.839, 
32.454, 
32.098, 
31.774, 
31.483, 
31.227, 
31.010, 
30.834, 
30.700, 
30.610, 
30.568, 
30.575, 
30.632, 
30.739, 
30.895, 
31.101, 
31.354, 
31.651, 
31.990, 
32.366, 
32.774, 
33.208, 
33.661, 
34.127, 
34.597, 
35.065, 
35.521, 
35.958, 
36.368, 
36.746, 
37.086, 
37.382, 
37.631, 
37.832, 
37.981, 
38.080, 
38.127, 
38.125, 
38.076, 
37.984, 
37.851, 
37.683, 
37.482, 
37.254, 
37.002, 
36.731, 
36.444, 
36.147, 
35.843, 
35.535, 
35.226, 
34.920, 
34.619, 
34.323, 
34.034, 
33.753, 
33.480, 
33.217, 
32.962, 
32.718, 
32.483, 
32.258, 
32.043, 
31.838, 
31.643, 
31.458, 
31.282, 
31.115, 
30.957, 
30.807, 
30.663, 
30.526, 
30.394, 
30.266, 
30.142, 
30.020, 
29.901, 
29.785, 
29.669, 
29.556, 
29.444, 
29.333, 
29.224, 
29.116, 
29.011, 
28.908, 
28.810, 
28.716, 
28.627, 
28.543, 
28.464, 
28.391, 
28.324, 
28.263, 
28.209, 
28.162, 
28.121, 
28.087, 
28.060, 
28.040, 
28.029, 
28.031, 
28.049, 
28.091, 
28.166, 
28.286, 
28.467, 
28.726, 
29.084, 
29.562, 
30.179, 
30.955, 
31.903, 
33.033, 
34.347, 
35.841, 
37.501, 
39.304, 
41.218, 
43.205, 
45.218, 
47.211, 
49.134, 
50.943, 
52.595, 
54.057, 
55.299, 
56.304, 
57.061, 
57.566, 
57.825, 
57.849, 
57.655, 
57.263, 
56.699, 
55.988, 
55.155, 
54.226, 
53.227, 
52.178, 
51.101, 
50.010, 
48.923, 
47.849, 
46.798, 
45.777, 
44.792, 
43.844, 
42.937, 
42.071, 
41.246, 
40.459, 
39.711, 
38.998, 
38.319, 
37.672, 
37.053, 
36.461, 
35.894, 
35.349, 
34.827, 
34.327, 
33.849, 
33.393, 
32.962, 
32.557, 
32.179, 
31.830, 
31.514, 
31.232, 
30.987, 
30.781, 
30.618, 
30.498, 
30.425, 
30.399, 
30.422, 
30.495, 
30.617, 
30.789, 
31.008, 
31.273, 
31.582, 
31.931, 
32.314, 
32.727, 
33.164, 
33.619, 
34.084, 
34.553, 
35.017, 
35.470, 
35.905, 
36.314, 
36.692, 
37.033, 
37.332, 
37.585, 
37.790, 
37.943, 
38.046, 
38.097, 
38.100, 
38.055, 
37.966, 
37.838, 
37.675, 
37.480, 
37.259, 
37.016, 
36.756, 
36.483, 
36.200, 
35.911, 
35.619, 
35.326, 
35.035, 
34.747, 
34.463, 
34.185, 
33.914, 
33.651, 
33.396, 
33.151, 
32.914, 
32.687, 
32.469, 
32.261, 
32.061, 
31.871, 
31.690, 
31.517, 
31.353, 
31.197, 
31.048, 
30.905, 
30.768, 
30.636, 
30.509, 
30.386, 
30.268, 
30.153, 
30.041, 
29.930, 
29.822, 
29.715, 
29.609, 
29.504, 
29.402, 
29.300, 
29.201, 
29.104, 
29.009, 
28.917, 
28.828, 
28.743, 
28.662, 
28.585, 
28.514, 
28.447, 
28.386, 
28.329, 
28.279, 
28.236, 
28.201, 
28.176, 
28.162, 
28.163, 
28.186, 
28.237, 
28.328, 
28.474, 
28.689, 
28.995, 
29.410, 
29.955, 
30.650, 
31.510, 
32.546, 
33.763, 
35.160, 
36.729, 
38.451, 
40.298, 
42.237, 
44.225, 
46.217, 
48.164, 
50.021, 
51.743, 
53.293, 
54.638, 
55.756, 
56.632, 
57.259, 
57.638, 
57.777, 
57.691, 
57.399, 
56.924, 
56.289, 
55.522, 
54.647, 
53.689, 
52.671, 
51.614, 
50.538, 
49.456, 
48.384, 
47.332, 
46.306, 
45.314, 
44.359, 
43.444, 
42.570, 
41.738, 
40.947, 
40.195, 
39.480, 
38.801, 
38.154, 
37.537, 
36.947, 
36.381, 
35.839, 
35.319, 
34.819, 
34.339, 
33.881, 
33.442, 
33.026, 
32.631, 
32.262, 
31.919, 
31.606, 
31.325, 
31.079, 
30.871, 
30.703, 
30.578, 
30.499, 
30.466, 
30.481, 
30.545, 
30.658, 
30.819, 
31.027, 
31.280, 
31.575, 
31.910, 
32.278, 
32.677, 
33.098, 
33.537, 
33.986, 
34.439, 
34.887, 
35.326, 
35.746, 
36.142, 
36.509, 
36.840, 
37.131, 
37.379, 
37.581, 
37.734, 
37.839, 
37.894, 
37.900, 
37.860, 
37.776, 
37.652, 
37.492, 
37.301, 
37.083, 
36.844, 
36.587, 
36.316, 
36.037, 
35.752, 
35.464, 
35.176, 
34.889, 
34.605, 
34.326, 
34.053, 
33.787, 
33.528, 
33.277, 
33.035, 
32.802, 
32.578, 
32.363, 
32.157, 
31.961, 
31.773, 
31.594, 
31.424, 
31.262, 
31.109, 
30.963, 
30.824, 
30.691, 
30.564, 
30.442, 
30.324, 
30.209, 
30.098, 
29.987, 
29.879, 
29.771, 
29.664, 
29.559, 
29.454, 
29.351, 
29.250, 
29.151, 
29.054, 
28.959, 
28.866, 
28.777, 
28.692, 
28.611, 
28.534, 
28.462, 
28.395, 
28.332, 
28.275, 
28.223, 
28.177, 
28.139, 
28.110, 
28.091, 
28.088, 
28.105, 
28.150, 
28.235, 
28.372, 
28.578, 
28.873, 
29.277, 
29.810, 
30.493, 
31.340, 
32.364, 
33.571, 
34.961, 
36.525, 
38.247, 
40.102, 
42.055, 
44.065, 
46.088, 
48.075, 
49.980, 
51.758, 
53.369, 
54.781, 
55.969, 
56.915, 
57.610, 
58.055, 
58.256, 
58.226, 
57.984, 
57.551, 
56.952, 
56.213, 
55.361, 
54.419, 
53.412, 
52.362, 
51.287, 
50.204, 
49.127, 
48.067, 
47.032, 
46.030, 
45.064, 
44.139, 
43.254, 
42.411, 
41.609, 
40.846, 
40.121, 
39.431, 
38.774, 
38.148, 
37.550, 
36.978, 
36.428, 
35.899, 
35.391, 
34.902, 
34.431, 
33.980, 
33.550, 
33.141, 
32.757, 
32.400, 
32.070, 
31.772, 
31.507, 
31.277, 
31.086, 
30.935, 
30.826, 
30.762, 
30.745, 
30.776, 
30.854, 
30.982, 
31.158, 
31.382, 
31.650, 
31.960, 
32.309, 
32.691, 
33.101, 
33.533, 
33.980, 
34.436, 
34.893, 
35.344, 
35.780, 
36.195, 
36.582, 
36.936, 
37.249, 
37.520, 
37.743, 
37.917, 
38.042, 
38.116, 
38.142, 
38.122, 
38.057, 
37.952, 
37.809, 
37.634, 
37.430, 
37.201, 
36.952, 
36.686, 
36.408, 
36.121, 
35.829, 
35.535, 
35.241, 
34.950, 
34.664, 
34.384, 
34.111, 
33.847, 
33.592, 
33.346, 
33.109, 
32.881, 
32.663, 
32.455, 
32.256, 
32.066, 
31.884, 
31.710, 
31.544, 
31.384, 
31.230, 
31.082, 
30.940, 
30.803, 
30.671, 
30.543, 
30.419, 
30.298, 
30.179, 
30.061, 
29.946, 
29.831, 
29.719, 
29.609, 
29.501, 
29.395, 
29.292, 
29.191, 
29.093, 
28.998, 
28.906, 
28.818, 
28.735, 
28.656, 
28.583, 
28.514, 
28.451, 
28.394, 
28.344, 
28.302, 
28.269, 
28.247, 
28.240, 
28.253, 
28.293, 
28.370, 
28.497, 
28.690, 
28.967, 
29.349, 
29.856, 
30.507, 
31.317, 
32.300, 
33.461, 
34.802, 
36.317, 
37.991, 
39.802, 
41.719, 
43.702, 
45.707, 
47.689, 
49.600, 
51.395, 
53.034, 
54.483, 
55.715, 
56.712, 
57.462, 
57.964, 
58.221, 
58.246, 
58.056, 
57.670, 
57.113, 
56.410, 
55.586, 
54.668, 
53.678, 
52.640, 
51.572, 
50.493, 
49.417, 
48.356, 
47.318, 
46.311, 
45.338, 
44.405, 
43.512, 
42.660, 
41.848, 
