Export Channel Data with rate of 256 samples per second.

"Client: ProCompInf, Biofeedback"	"Channel Set: PI Physiology EKG & BVP.chs"
Session Date: 2021/03/22		Session Time: 16:38:08
Start Time: 00:00:00.000		End Time: 00:08:26.000

B: BVP,Event
2048, 
0.004, 
0.061, 
0.279, 
0.782, 
1.678, 
3.038, 
4.890, 
7.213, 
9.952, 
13.018, 
16.300, 
19.681, 
23.040, 
26.264, 
29.255, 
31.935, 
34.244, 
36.149, 
37.637, 
38.715, 
39.406, 
39.748, 
39.787, 
39.579, 
39.178, 
38.641, 
38.020, 
37.362, 
36.707, 
36.089, 
35.532, 
35.053, 
34.663, 
34.364, 
34.156, 
34.033, 
33.985, 
33.998, 
34.060, 
34.156, 
34.273, 
34.399, 
34.523, 
34.637, 
34.736, 
34.816, 
34.874, 
34.911, 
34.925, 
34.918, 
34.891, 
34.845, 
34.785, 
34.712, 
34.630, 
34.544, 
34.457, 
34.371, 
34.289, 
34.213, 
34.144, 
34.082, 
34.029, 
33.985, 
33.950, 
33.924, 
33.908, 
33.904, 
33.912, 
33.937, 
33.979, 
34.043, 
34.131, 
34.244, 
34.385, 
34.554, 
34.752, 
34.979, 
35.234, 
35.513, 
35.814, 
36.133, 
36.464, 
36.802, 
37.142, 
37.478, 
37.806, 
38.124, 
38.427, 
38.711, 
38.975, 
39.215, 
39.430, 
39.619, 
39.783, 
39.922, 
40.037, 
40.131, 
40.204, 
40.258, 
40.295, 
40.316, 
40.323, 
40.317, 
40.302, 
40.278, 
40.248, 
40.212, 
40.173, 
40.131, 
40.087, 
40.040, 
39.991, 
39.940, 
39.887, 
39.834, 
39.781, 
39.729, 
39.678, 
39.627, 
39.578, 
39.528, 
39.478, 
39.426, 
39.372, 
39.316, 
39.257, 
39.193, 
39.124, 
39.049, 
38.970, 
38.885, 
38.796, 
38.703, 
38.610, 
38.516, 
38.426, 
38.339, 
38.257, 
38.181, 
38.111, 
38.047, 
37.990, 
37.939, 
37.895, 
37.858, 
37.828, 
37.803, 
37.784, 
37.769, 
37.759, 
37.753, 
37.749, 
37.746, 
37.744, 
37.741, 
37.737, 
37.732, 
37.726, 
37.719, 
37.709, 
37.698, 
37.686, 
37.670, 
37.651, 
37.628, 
37.600, 
37.568, 
37.531, 
37.488, 
37.442, 
37.391, 
37.339, 
37.283, 
37.227, 
37.170, 
37.114, 
37.057, 
37.001, 
36.946, 
36.891, 
36.836, 
36.780, 
36.722, 
36.663, 
36.601, 
36.538, 
36.475, 
36.411, 
36.347, 
36.284, 
36.222, 
36.160, 
36.098, 
36.038, 
35.977, 
35.916, 
35.855, 
35.795, 
35.738, 
35.683, 
35.632, 
35.584, 
35.538, 
35.494, 
35.452, 
35.412, 
35.375, 
35.340, 
35.306, 
35.275, 
35.245, 
35.217, 
35.190, 
35.165, 
35.141, 
35.116, 
35.088, 
35.056, 
35.020, 
34.979, 
34.935, 
34.887, 
34.838, 
34.789, 
34.739, 
34.691, 
34.644, 
34.599, 
34.556, 
34.516, 
34.480, 
34.449, 
34.424, 
34.407, 
34.400, 
34.406, 
34.429, 
34.473, 
34.544, 
34.644, 
34.778, 
34.945, 
35.147, 
35.383, 
35.650, 
35.945, 
36.265, 
36.605, 
36.960, 
37.327, 
37.700, 
38.072, 
38.439, 
38.796, 
39.138, 
39.462, 
39.765, 
40.044, 
40.299, 
40.528, 
40.733, 
40.912, 
41.065, 
41.193, 
41.298, 
41.380, 
41.441, 
41.485, 
41.513, 
41.527, 
41.531, 
41.525, 
41.512, 
41.493, 
41.468, 
41.439, 
41.407, 
41.373, 
41.337, 
41.301, 
41.265, 
41.229, 
41.194, 
41.159, 
41.125, 
41.092, 
41.059, 
41.025, 
40.990, 
40.955, 
40.919, 
40.879, 
40.836, 
40.788, 
40.732, 
40.666, 
40.591, 
40.505, 
40.410, 
40.307, 
40.197, 
40.082, 
39.965, 
39.849, 
39.735, 
39.627, 
39.526, 
39.432, 
39.347, 
39.272, 
39.206, 
39.150, 
39.102, 
39.061, 
39.024, 
38.991, 
38.960, 
38.931, 
38.903, 
38.875, 
38.847, 
38.820, 
38.795, 
38.772, 
38.753, 
38.737, 
38.723, 
38.709, 
38.695, 
38.679, 
38.660, 
38.638, 
38.612, 
38.583, 
38.549, 
38.509, 
38.465, 
38.416, 
38.361, 
38.302, 
38.239, 
38.172, 
38.104, 
38.032, 
37.959, 
37.885, 
37.809, 
37.731, 
37.653, 
37.572, 
37.491, 
37.410, 
37.327, 
37.244, 
37.161, 
37.078, 
36.996, 
36.915, 
36.832, 
36.748, 
36.663, 
36.578, 
36.491, 
36.402, 
36.312, 
36.221, 
36.129, 
36.038, 
35.949, 
35.861, 
35.776, 
35.695, 
35.618, 
35.546, 
35.478, 
35.416, 
35.358, 
35.305, 
35.256, 
35.210, 
35.166, 
35.123, 
35.080, 
35.038, 
34.996, 
34.952, 
34.908, 
34.861, 
34.810, 
34.757, 
34.701, 
34.642, 
34.579, 
34.513, 
34.445, 
34.375, 
34.306, 
34.239, 
34.173, 
34.110, 
34.051, 
33.996, 
33.945, 
33.901, 
33.863, 
33.835, 
33.819, 
33.817, 
33.832, 
33.868, 
33.929, 
34.017, 
34.134, 
34.282, 
34.462, 
34.674, 
34.917, 
35.192, 
35.496, 
35.827, 
36.181, 
36.555, 
36.943, 
37.340, 
37.741, 
38.140, 
38.531, 
38.910, 
39.270, 
39.610, 
39.924, 
40.213, 
40.472, 
40.703, 
40.904, 
41.077, 
41.223, 
41.344, 
41.441, 
41.519, 
41.579, 
41.624, 
41.657, 
41.681, 
41.698, 
41.710, 
41.720, 
41.726, 
41.729, 
41.728, 
41.725, 
41.718, 
41.707, 
41.693, 
41.675, 
41.653, 
41.629, 
41.602, 
41.573, 
41.543, 
41.508, 
41.469, 
41.424, 
41.371, 
41.309, 
41.237, 
41.156, 
41.067, 
40.971, 
40.869, 
40.764, 
40.655, 
40.544, 
40.432, 
40.319, 
40.206, 
40.092, 
39.979, 
39.867, 
39.757, 
39.649, 
39.543, 
39.442, 
39.345, 
39.254, 
39.170, 
39.093, 
39.024, 
38.962, 
38.907, 
38.858, 
38.814, 
38.773, 
38.738, 
38.707, 
38.680, 
38.658, 
38.638, 
38.618, 
38.597, 
38.575, 
38.550, 
38.525, 
38.498, 
38.469, 
38.439, 
38.407, 
38.371, 
38.333, 
38.289, 
38.240, 
38.184, 
38.122, 
38.054, 
37.979, 
37.900, 
37.815, 
37.728, 
37.639, 
37.548, 
37.456, 
37.364, 
37.271, 
37.178, 
37.086, 
36.996, 
36.906, 
36.817, 
36.727, 
36.637, 
36.547, 
36.459, 
36.373, 
36.291, 
36.212, 
36.136, 
36.065, 
35.998, 
35.935, 
35.876, 
35.821, 
35.768, 
35.717, 
35.666, 
35.613, 
35.558, 
35.500, 
35.440, 
35.378, 
35.314, 
35.248, 
35.182, 
35.115, 
35.048, 
34.982, 
34.919, 
34.859, 
34.803, 
34.749, 
34.697, 
34.645, 
34.594, 
34.542, 
34.488, 
